OTUID,OTU_group,Treatment,n_replicates,occupancy,retained,mean_RA,median_RA_present,median_RA_D0,occupancy_D0,log10_shift_vs_D0
OTU_3187,Rare OTUs,D1,14,0.35714285714285715,TRUE,1.0349614788549615e-5,2.91630212890055e-5,6.11882763262559e-5,0.9285714285714286,-0.2443622431625796
OTU_3187,Rare OTUs,D3,20,0,FALSE,0,0,6.11882763262559e-5,0.9285714285714286,-0.7499790049249508
OTU_3187,Rare OTUs,D5,20,0,FALSE,0,0,6.11882763262559e-5,0.9285714285714286,-0.7499790049249508
OTU_3187,Rare OTUs,D6,40,0,FALSE,0,0,6.11882763262559e-5,0.9285714285714286,-0.7499790049249508
OTU_3187,Rare OTUs,D7,40,0,FALSE,0,0,6.11882763262559e-5,0.9285714285714286,-0.7499790049249508
OTU_3188,Rare OTUs,D0,14,0.7142857142857143,TRUE,3.66394704037718e-5,6.033365054775265e-5,6.033365054775265e-5,0.7142857142857143,0
OTU_3188,Rare OTUs,D1,14,0.5714285714285714,TRUE,2.3130231543798614e-5,2.987991859849195e-5,6.033365054775265e-5,0.7142857142857143,-0.2320643177219015
OTU_3188,Rare OTUs,D3,20,0,FALSE,0,0,6.033365054775265e-5,0.7142857142857143,-0.7449630245443162
OTU_3188,Rare OTUs,D5,20,0,FALSE,0,0,6.033365054775265e-5,0.7142857142857143,-0.7449630245443162
OTU_3188,Rare OTUs,D6,40,0,FALSE,0,0,6.033365054775265e-5,0.7142857142857143,-0.7449630245443162
OTU_3188,Rare OTUs,D7,40,0,FALSE,0,0,6.033365054775265e-5,0.7142857142857143,-0.7449630245443162
OTU_3189,Rare OTUs,D0,14,0.8571428571428571,TRUE,4.714419068551708e-5,4.4475238393947646e-5,4.4475238393947646e-5,0.8571428571428571,0
OTU_3189,Rare OTUs,D1,14,0.35714285714285715,TRUE,1.26966982970736e-5,2.96630280018984e-5,4.4475238393947646e-5,0.8571428571428571,-0.1288149780113681
OTU_3189,Rare OTUs,D3,20,0,FALSE,0,0,4.4475238393947646e-5,0.8571428571428571,-0.6395234537354026
OTU_3189,Rare OTUs,D5,20,0,FALSE,0,0,4.4475238393947646e-5,0.8571428571428571,-0.6395234537354026
OTU_3189,Rare OTUs,D6,40,0,FALSE,0,0,4.4475238393947646e-5,0.8571428571428571,-0.6395234537354026
OTU_3189,Rare OTUs,D7,40,0,FALSE,0,0,4.4475238393947646e-5,0.8571428571428571,-0.6395234537354026
OTU_319,Rare OTUs,D0,14,0.6428571428571429,TRUE,5.5300666617916604e-5,9.17711838482716e-5,9.17711838482716e-5,0.6428571428571429,0
OTU_319,Rare OTUs,D1,14,0.21428571428571427,TRUE,6.245494250107207e-6,2.95229097779877e-5,9.17711838482716e-5,0.6428571428571429,-0.3901971068599681
OTU_319,Rare OTUs,D3,20,0,FALSE,0,0,9.17711838482716e-5,0.6428571428571429,-0.8994847279407545
OTU_319,Rare OTUs,D5,20,0,FALSE,0,0,9.17711838482716e-5,0.6428571428571429,-0.8994847279407545
OTU_319,Rare OTUs,D6,40,0,FALSE,0,0,9.17711838482716e-5,0.6428571428571429,-0.8994847279407545
OTU_319,Rare OTUs,D7,40,0,FALSE,0,0,9.17711838482716e-5,0.6428571428571429,-0.8994847279407545
OTU_3190,Rare OTUs,D0,14,0.6428571428571429,TRUE,3.0353988306372957e-5,6.03227265872417e-5,6.03227265872417e-5,0.6428571428571429,0
OTU_3190,Rare OTUs,D1,14,0.42857142857142855,TRUE,1.8737914351960473e-5,2.941302464545195e-5,6.03227265872417e-5,0.6428571428571429,-0.2367284523506239
OTU_3190,Rare OTUs,D3,20,0,FALSE,0,0,6.03227265872417e-5,0.6428571428571429,-0.744898533024517
OTU_3190,Rare OTUs,D5,20,0,FALSE,0,0,6.03227265872417e-5,0.6428571428571429,-0.744898533024517
OTU_3190,Rare OTUs,D6,40,0,FALSE,0,0,6.03227265872417e-5,0.6428571428571429,-0.744898533024517
OTU_3190,Rare OTUs,D7,40,0,FALSE,0,0,6.03227265872417e-5,0.6428571428571429,-0.744898533024517
OTU_3191,Rare OTUs,D0,14,0.2857142857142857,TRUE,8.7426539527107e-6,3.0598819601823456e-5,3.0598819601823456e-5,0.2857142857142857,0
OTU_3191,Rare OTUs,D1,14,0.7857142857142857,TRUE,4.652464376915804e-5,5.83260425780111e-5,3.0598819601823456e-5,0.2857142857142857,0.21286651304380033
OTU_3191,Rare OTUs,D3,20,0,FALSE,0,0,3.0598819601823456e-5,0.2857142857142857,-0.5200804165703321
OTU_3191,Rare OTUs,D5,20,0.15,TRUE,4.91027868840961e-6,3.07078151389529e-5,3.0598819601823456e-5,0.2857142857142857,0.00107855470979068
OTU_3191,Rare OTUs,D6,40,0.05,TRUE,2.405417365696705e-6,4.8108347313934104e-5,3.0598819601823456e-5,0.2857142857142857,0.14595754282690265
