Cutoff_label,dominance_cutoff,n_subsample,OTU_group,Treatment,Occupancy_class,prop_Mean,prop_Median,prop_Q2.5,prop_Q97.5,n_Median,N_iterations
0.01%,1e-4,12,Rare OTUs,D5,Transient (0-0.25],0.08495862989855235,0.08490859197766598,0.07705578402081616,0.09265121536512871,137,1000
0.01%,1e-4,12,Rare OTUs,D5,Intermediate (0.25-0.50],0.025300646112161394,0.02540272614622057,0.019765287214329835,0.03041589075108628,41,1000
0.01%,1e-4,12,Rare OTUs,D5,High (0.50-<1.00),0.026620813336667846,0.026608910891089108,0.023529411764705882,0.02968506034276897,43,1000
0.01%,1e-4,12,Rare OTUs,D5,Persistent (1.00),0.008220217212499737,0.008059516429014259,0.006199628022318661,0.01051980198019802,13,1000
0.01%,1e-4,12,Rare OTUs,D6,Lost (0),0.8559538770331091,0.8556446637877854,0.838786885264676,0.874147656322607,1382,1000
0.01%,1e-4,12,Rare OTUs,D6,Transient (0-0.25],0.09361005532725655,0.09369196194998669,0.077966685064121,0.10926272809607643,151,1000
0.01%,1e-4,12,Rare OTUs,D6,Intermediate (0.25-0.50],0.02661325254627149,0.026633635258055482,0.02042079207920792,0.032838179337492536,43,1000
0.01%,1e-4,12,Rare OTUs,D6,High (0.50-<1.00),0.02090629875754375,0.02103960396039604,0.015441154336669082,0.02584695009242144,34,1000
0.01%,1e-4,12,Rare OTUs,D6,Persistent (1.00),0.002916516335819167,0.0030845157310302285,6.214943890924111e-4,0.004956629491945477,5,1000
0.01%,1e-4,12,Rare OTUs,D7,Lost (0),0.8797886758435486,0.880841955868356,0.8512902457764363,0.905617614516232,1423,1000
0.01%,1e-4,12,Rare OTUs,D7,Transient (0-0.25],0.09884952162624888,0.09807572936064556,0.07401977336926523,0.12647100707722878,158,1000
0.01%,1e-4,12,Rare OTUs,D7,Intermediate (0.25-0.50],0.01115018820906288,0.011124845488257108,0.006785517012290608,0.01675977653631285,18,1000
0.01%,1e-4,12,Rare OTUs,D7,High (0.50-<1.00),0.009683669528086657,0.009882643607164917,0.00616207435706578,0.013019420757831454,16,1000
0.01%,1e-4,12,Rare OTUs,D7,Persistent (1.00),5.279447930529609e-4,6.184291898577613e-4,0,0.0012414649286157666,1,1000
0.01%,1e-4,14,Abundant OTUs,D0,Lost (0),0,0,0,0,0,1000
0.01%,1e-4,14,Abundant OTUs,D0,Transient (0-0.25],0,0,0,0,0,1000
0.01%,1e-4,14,Abundant OTUs,D0,Intermediate (0.25-0.50],0,0,0,0,0,1000
0.01%,1e-4,14,Abundant OTUs,D0,High (0.50-<1.00),0.05191256830601093,0.05191256830601093,0.05191256830601093,0.05191256830601093,38,1000
0.01%,1e-4,14,Abundant OTUs,D0,Persistent (1.00),0.9480874316939891,0.9480874316939891,0.9480874316939891,0.9480874316939891,694,1000
