Cutoff_label,dominance_cutoff,n_subsample,Metric,Mean,SD,Median,Q2.5,Q97.5,N_iterations
0.1%,0.001,10,Spearman rho: rare retained proportion vs dilution rank,-0.9626548683276208,0.053296433472440105,-1,-1,-0.8285714285714285,1000
0.1%,0.001,12,"Mean abundant decrease proportion, D1-D7",0.8159020886989042,0.01226529687436238,0.8158539305135246,0.7901997553102534,0.8379561524790251,1000
0.1%,0.001,12,"Mean abundant median log10 shift vs D0, D1-D7",-1.1365219778511235,0.054050233715619775,-1.1333037471646756,-1.2424712267501716,-1.0383333002554955,1000
0.1%,0.001,12,"Mean rare decrease proportion, D1-D7",0.541522331235674,0.014810578673733678,0.54140280602645,0.5139509291867437,0.5717223849119246,1000
0.1%,0.001,12,"Mean rare median log10 shift vs D0, D1-D7",-0.012066885474172258,0.00789051487375586,-0.014236892160662106,-0.02172237978040182,0.007311134708957276,1000
0.1%,0.001,12,"Mean rare transient/lost proportion, D1-D7",0.8252386794445983,0.0017765358069255059,0.8252904378909741,0.8218051831992851,0.8288020757427494,1000
0.1%,0.001,12,"Mean rare transient/lost proportion, D3-D7",0.9393723706130302,0.0018284560398241232,0.9393448136405202,0.9359339882160138,0.9428318598107777,1000
0.1%,0.001,12,"Mean rare-minus-abundant transient/lost gap, D1-D7",0.20571644225953456,0.005726360207438854,0.20597311630026707,0.19449063980951264,0.21680972603614537,1000
0.1%,0.001,12,"Mean rare-minus-abundant transient/lost gap, D3-D7",0.16496957413170057,0.007002264945468634,0.1652329677613768,0.15116356051743332,0.1783105227465875,1000
0.1%,0.001,12,"Mean retention gap: abundant minus rare, D1-D7",0.1697201890122087,0.008487439030472459,0.16964618543438056,0.1530397043100212,0.1854301735094512,1000
0.1%,0.001,12,"Mean retention gap: abundant minus rare, D3-D7",0.19397788262309193,0.010583968838691475,0.19405382986380001,0.17273925207610288,0.21335559640104185,1000
0.1%,0.001,12,Rare transient/lost > abundant transient/lost in all diluted treatments,1,0,1,1,1,1000
0.1%,0.001,12,Rare transient/lost > abundant transient/lost in all stronger dilution treatments,1,0,1,1,1,1000
0.1%,0.001,12,Retention gap > 0 in all diluted treatments,1,0,1,1,1,1000
0.1%,0.001,12,Retention gap > 0 in all stronger dilution treatments,1,0,1,1,1,1000
0.1%,0.001,12,Spearman rho: abundant retained proportion vs dilution rank,-0.9651504148141012,0.03528419576287526,-0.9856107606091623,-0.9856107606091623,-0.8827348295047496,1000
0.1%,0.001,12,Spearman rho: rare retained proportion vs dilution rank,-0.9531555373698307,0.06111103550831439,-0.9428571428571428,-1,-0.7714285714285715,1000
