"Common_n","Group","Metric","Mean","Median","Q2.5","Q97.5","N_iterations","Ref_Median","Difference_from_n14","Ratio_to_n14","Same_sign_as_n14"
12,"D1","Last_over_first",0.270480504366585,0.265155093686034,0.261422772934457,0.307243143110359,100,0.254591399305086,0.010563694380948,1.04149273859911,TRUE
12,"D1","Power_slope",-0.531393967675643,-0.538891442978478,-0.545915608041299,-0.476770597015305,100,-0.521890420236079,-0.0170010227423985,1.03257584750206,TRUE
12,"D1","Zeta_half_order",0.370675271326923,0.365040426039414,0.360918098520388,0.406344717868364,100,0.341849916520013,0.023190509519401,1.06783827755606,TRUE
12,"D1","Zeta_last",0.270480504366585,0.265155093686034,0.261422772934457,0.307243143110359,100,0.254591399305086,0.010563694380948,1.04149273859911,TRUE
12,"D1","Zeta_order1",1,1,1,1,100,1,0,1,TRUE
12,"D1","Zeta_order2",0.686637043919257,0.684148990038821,0.679138663839638,0.705753838627343,100,0.686104834202844,-0.00195584416402306,0.99714935084768,TRUE
12,"D1","Zeta_order3",0.543239558685983,0.539500799248619,0.533832060395218,0.570853641137962,100,0.542404709590306,-0.00290391034168702,0.994646229484474,TRUE
12,"D3","DeltaAIC_ExpMinusPower",23.8109677384762,23.7760944312771,21.4498726201688,25.9688760568245,100,27.5351202305944,-3.75902579931735,0.863482499156089,TRUE
12,"D3","Exp_slope",-0.0934607150471176,-0.0936632389024407,-0.0991652162965768,-0.08704812265757,100,-0.0782763874470193,-0.0153868514554213,1.19657079174529,TRUE
12,"D3","Last_over_first",0.268982642001643,0.267707075673979,0.249918455336512,0.288600349009377,100,0.257207726886507,0.0104993487874715,1.04082050300186,TRUE
12,"D3","Power_slope",-0.500733162849367,-0.501038035615636,-0.528231663297046,-0.470414464341121,100,-0.480090943588905,-0.020947092026731,1.0436315083766,TRUE
12,"D3","Zeta_half_order",0.338676848633318,0.339266955601864,0.323402550987468,0.35396462677867,100,0.320919372763743,0.0183475828381215,1.05717193910767,TRUE
12,"D3","Zeta_last",0.268982642001643,0.267707075673979,0.249918455336512,0.288600349009377,100,0.257207726886507,0.0104993487874715,1.04082050300186,TRUE
12,"D3","Zeta_order1",1,1,1,1,100,1,0,1,TRUE
12,"D3","Zeta_order2",0.58716780569895,0.587475610680486,0.5751040819521,0.598262750154406,100,0.587014668000766,0.000460942679720522,1.00078523196241,TRUE
12,"D3","Zeta_order3",0.460513132323462,0.461509208430233,0.446391904784505,0.473703019341983,100,0.460246622919212,0.00126258551102049,1.00274328033742,TRUE
12,"D5","DeltaAIC_ExpMinusPower",41.2855726558617,41.1700907661233,30.2220054650971,53.8037414014694,100,47.6472986685897,-6.47720790246645,0.864059283874232,TRUE
12,"D5","Exp_slope",-0.135080860239401,-0.136131645059786,-0.149543267226023,-0.118765976741488,100,-0.117155507816698,-0.0189761372430885,1.16197392334963,TRUE
12,"D5","Last_over_first",0.170495095728896,0.167504097843904,0.144011503775925,0.204233461901453,100,0.154344806400342,0.013159291443562,1.0852590492059,TRUE
12,"D5","Power_slope",-0.696497080724263,-0.703725994984452,-0.764229158983488,-0.621585391354969,100,-0.686404515606523,-0.0173214793779286,1.02523508949038,TRUE
12,"D5","Zeta_half_order",0.260614909572996,0.259089316619597,0.239499992710344,0.287149934690918,100,0.236877660389633,0.0222116562299635,1.09376847184926,TRUE
12,"D5","Zeta_last",0.170495095728896,0.167504097843904,0.144011503775925,0.204233461901453,100,0.154344806400342,0.013159291443562,1.0852590492059,TRUE
