"Common_n","Group","Order","Mean_Zeta","Median_Zeta","Q2.5_Zeta","Q97.5_Zeta","Mean_Ratio","Median_Ratio","Q2.5_Ratio","Q97.5_Ratio","N_iterations"
12,"D7",5,0.122005325510665,0.120080766006616,0.0884264537878057,0.171756974963132,0.785092325737717,0.786817170469114,0.733678796106851,0.838880550139205,100
12,"D7",6,0.101156378014921,0.0987190047217033,0.0697669216851513,0.148246044047245,0.826094638508337,0.830469962417415,0.777823998877229,0.873337491925845,100
12,"D7",7,0.0868579485622906,0.0859618938114534,0.057103836112136,0.130260533973694,0.855764571003849,0.859917134897681,0.803619300050653,0.899831533132668,100
12,"D7",8,0.0765241515042475,0.0756476823907987,0.0488962993047961,0.115643487552445,0.878411159100742,0.87901290081731,0.82269126352353,0.922593545088614,100
12,"D7",9,0.0687656482722519,0.0673626938855967,0.0427475749112896,0.104832179680594,0.896278106709962,0.894693892829098,0.839573902822479,0.937536795026839,100
12,"D7",10,0.0627756127036761,0.0619184163784211,0.0380799575502612,0.0968921202572177,0.910770118776537,0.912168620194434,0.852367181802665,0.954455277811513,100
12,"D7",11,0.058058219287324,0.057243588206616,0.0338078181002141,0.0904210664525479,0.922812258990092,0.925488109558619,0.8601590754467,0.973737364685641,100
12,"D7",12,0.0542924241194759,0.0534124923023076,0.0303399199027352,0.0851105185813625,0.932933240889193,0.9375,0.862048192771084,0.987316680096696,100
14,"D0",1,1,1,1,1,NA,NA,NA,NA,100
14,"D0",2,0.830800464603281,0.830800464603281,0.830800464603281,0.830800464603281,0.830800464603281,0.830800464603281,0.830800464603281,0.830800464603281,100
14,"D0",3,0.743340848974652,0.743340848974652,0.743340848974652,0.743340848974652,0.894728494560493,0.894728494560493,0.894728494560493,0.894728494560493,100
14,"D0",4,0.68986379393478,0.69004373387472,0.687876525821596,0.691604988791609,0.928058500869908,0.928300570090492,0.925385073039425,0.930400891792229,100
14,"D0",5,0.652922262826206,0.652956435308548,0.651639571966332,0.654242063189951,0.946452756530508,0.946554376497483,0.943581111879256,0.949568664556848,100
14,"D0",6,0.625374025292899,0.625378928223999,0.624421287484668,0.626345791566214,0.957808987992589,0.957727169464605,0.95528043396441,0.960582842782645,100
14,"D0",7,0.603663917438565,0.603632830013112,0.602721731590746,0.604529124899548,0.965285432396592,0.965190565368449,0.9635697283162,0.967439543213625,100
14,"D0",8,0.586013975383835,0.586008628346657,0.585355925643954,0.586567402613881,0.970762549249149,0.970838779319481,0.968829995170527,0.972391489131137,100
14,"D0",9,0.570909507253733,0.570923825233685,0.570464530727911,0.571312773336717,0.974225317641228,0.974237799426341,0.973128656588547,0.975380594303714,100
14,"D0",10,0.557780553229286,0.557777989256863,0.557458810218669,0.558162762762763,0.977003590702145,0.976981849106024,0.976102276617857,0.978026287909281,100
14,"D0",11,0.546156123620912,0.546156123620912,0.546156123620912,0.546156123620912,0.979159599713457,0.979163993818424,0.978489000125434,0.979724625152124,100
14,"D0",12,0.535692789213916,0.535692789213916,0.535692789213916,0.535692789213916,0.980841861961326,0.980841861961326,0.980841861961326,0.980841861961326,100
