"Method","samp1","samp2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","D001","D304",0.00904856925134562,0.398600216529322,0.494709342386896,0.0171087048341541,0.0805331669982818
"CbMPDiCbraya","D001","D305",0.0133763977373202,0.335326324926227,0.558020936678653,0.0174189938301992,0.0758573468276001
"CbMPDiCbraya","D001","D306",0.0150049074132357,0.373868195383758,0.533884254376638,0.0105254514325969,0.0667171913937718
"CbMPDiCbraya","D001","D307",0.00657195980220474,0.239836421689548,0.640431626995592,0.0176057646638681,0.0955542268487865
"CbMPDiCbraya","D001","D308",0.00740301186804483,0.459030689408535,0.251356920416772,0.00809169337812848,0.274117684928519
"CbMPDiCbraya","D001","D309",0.00191476187068354,0.434533587305348,0.252758182537669,0.0139027904262113,0.296890677860087
"CbMPDiCbraya","D001","D310",0.00609019615543914,0.301980290317647,0.607430509809357,0.0131970691025785,0.071301934614979
"CbMPDiCbraya","D001","D311",0.013376132948801,0.381747382481981,0.256575908433452,0.0190878960554518,0.329212680080314
"CbMPDiCbraya","D001","D312",0.00603077773276572,0.257314549506527,0.667443765320938,0.0116890560577521,0.057521851382018
"CbMPDiCbraya","D001","D313",0.00600211129543055,0.360765754047664,0.557159921520498,0.0301507945564557,0.0459214185799517
"CbMPDiCbraya","D001","D314",0.00648469310812849,0.42859241723126,0.28520706678604,0.0118880374227196,0.267827785451852
"CbMPDiCbraya","D001","D315",0.0226489168057589,0.396142744527826,0.226479180087223,0.0215975737212192,0.333131584857973
"CbMPDiCbraya","D001","D316",0.00871663399185643,0.37293996761641,0.316446987185762,0.0171004463343062,0.284795964871665
"CbMPDiCbraya","D001","D317",0.0149889345868853,0.345370741500783,0.552974263076155,0.0124221249097072,0.0742439359264703
"CbMPDiCbraya","D001","D318",0.00631880561001357,0.337854849874601,0.307545964414658,0.0147769655000276,0.333503414600701
"CbMPDiCbraya","D001","D319",0.00672397461883377,0.291733554954793,0.613619022567369,0.0121447803159864,0.0757786675430176
"CbMPDiCbraya","D001","D320",0.00631880561001357,0.450286263329664,0.231632993961289,0.0311625423812414,0.280599394717791
"CbMPDiCbraya","D001","D501",0.0162720554969085,0.426510463375209,0.216562155524219,0.0243192738696533,0.31633605173401
"CbMPDiCbraya","D001","D502",0.0166964189289123,0.391249151830537,0.524964318324125,0.0238751792202412,0.0432149316961844
"CbMPDiCbraya","D001","D503",0.0173552254226193,0.134695055936097,0.288873541476939,0.0225746125911825,0.536501564573161
"CbMPDiCbraya","D001","D504",0.0162720554969085,0.577935499371198,0.313848117831134,0.0189324470440116,0.0730118802567481
"CbMPDiCbraya","D001","D505",0.0233147338259689,0.125691281643551,0.409897879601013,0.0342550841340266,0.406841020795441
"CbMPDiCbraya","D001","D506",0.0170095651159042,0.245744068081712,0.618246814108329,0.0276446022844924,0.0913549504095616
