OTUID	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi	Group	Kingdom	Phylum	Class	Order	Family	Genus	CultStrains	Identity
OTU_2153	12	0.810218583	1.783969136	0.008295214	0.045454545	M2	1.063712166	0.152777778	D1	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	bacterium	NA	NA
OTU_2158	17	1.588071395	1.134338146	0.072677952	0.132352941	M3	1.936731843	0.650519031	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter	NA	NA
OTU_2160	7	0.684851185	0.219968883	0.004911966	0.095238095	M4	2.151725182	0.244897959	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	NA	NA
OTU_2163	5	0.01498729	-0.092346611	0.083431091	0	M3	1.158648244	0.32	D5	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	NA	NA
OTU_2163	7	0.203684255	0.2557876	0.132647708	0.047619048	M3	0.530473508	0.612244898	D6	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	NA	NA
OTU_2187	29	2.280924839	-0.058881363	0.102537839	0.5	M3	0.25803253	0.066587396	D0	Bacteria	Patescibacteria	Dojkabacteria	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium	NA	NA
OTU_2274	10	0.244704007	0.266315406	0.005279544	0.2	M2	0.871010687	0	D1	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	uncultured__bacterium	uncultured__bacterium	NA	NA
OTU_2292	4	0.804424126	1.513422036	0.143811021	0	M4	0.515710623	0.375	D3	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	livecontrolB21	uncultured__bacterium	NA	NA
OTU_2301	12	0.532324226	0.671827692	1.54E-07	0.303030303	M2	0.238177345	0	D0	Bacteria	Bacillota	Desulfitobacteriia	Desulfitobacteriales	uncultured	uncultured__bacterium	NA	NA
OTU_2309	5	0.017648909	0.115234403	0.004393278	0	M3	0.991240707	0	D1	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	livecontrolB21	uncultured__bacterium	NA	NA
OTU_2314	6	0.671784427	0.384288981	0.057020411	0	M2	2.108406543	0.277777778	D3	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	NA	NA
OTU_2325	5	0.035908912	-0.159799814	0.046591857	0	M2	0.989427863	0.32	D6	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	uncultured__Fusobacteria__bacterium	NA	NA
