SampleID	Group	Measure	Value
D739	D7	se.ACE	6.561
D740	D7	se.ACE	6.352
D001	D0	Shannon	4.887
D002	D0	Shannon	4.805
D003	D0	Shannon	4.856
D004	D0	Shannon	4.885
D005	D0	Shannon	4.892
D006	D0	Shannon	4.891
D007	D0	Shannon	4.895
D008	D0	Shannon	4.807
D009	D0	Shannon	4.805
D010	D0	Shannon	4.799
D011	D0	Shannon	4.799
D012	D0	Shannon	4.852
D013	D0	Shannon	4.838
D014	D0	Shannon	4.847
D101	D1	Shannon	4.8
D102	D1	Shannon	4.388
D103	D1	Shannon	4.325
D104	D1	Shannon	3.993
D105	D1	Shannon	4.177
D106	D1	Shannon	4.226
D107	D1	Shannon	4.333
D108	D1	Shannon	4.407
D109	D1	Shannon	4.479
D110	D1	Shannon	3.7
D111	D1	Shannon	4.28
D112	D1	Shannon	4.081
D113	D1	Shannon	3.996
D114	D1	Shannon	4.36
D301	D3	Shannon	2.915
D302	D3	Shannon	2.24
D303	D3	Shannon	2.058
D304	D3	Shannon	2.364
D305	D3	Shannon	2.033
D306	D3	Shannon	2.043
D307	D3	Shannon	2.095
D308	D3	Shannon	2.675
D309	D3	Shannon	2.413
D310	D3	Shannon	2.049
D311	D3	Shannon	1.936
D312	D3	Shannon	1.794
D313	D3	Shannon	1.756
D314	D3	Shannon	2.17
D315	D3	Shannon	1.807
D316	D3	Shannon	1.987
D317	D3	Shannon	1.997
D318	D3	Shannon	1.823
D319	D3	Shannon	1.991
D320	D3	Shannon	1.992
D501	D5	Shannon	1.732
D502	D5	Shannon	1.877
D503	D5	Shannon	1.866
D504	D5	Shannon	1.995
D505	D5	Shannon	2.294
D506	D5	Shannon	2.039
D507	D5	Shannon	2.117
D508	D5	Shannon	1.831
D509	D5	Shannon	2.587
D510	D5	Shannon	1.805
D511	D5	Shannon	2.249
D512	D5	Shannon	2.272
D513	D5	Shannon	1.966
D514	D5	Shannon	2.142
D515	D5	Shannon	2.279
D516	D5	Shannon	1.937
D517	D5	Shannon	2.243
D518	D5	Shannon	1.634
D519	D5	Shannon	1.678
D520	D5	Shannon	2.308
D601	D6	Shannon	2.344
D602	D6	Shannon	1.879
D603	D6	Shannon	2.046
D604	D6	Shannon	1.454
D605	D6	Shannon	1.866
D606	D6	Shannon	1.834
D607	D6	Shannon	1.681
D608	D6	Shannon	1.519
D609	D6	Shannon	2.104
D610	D6	Shannon	1.451
D611	D6	Shannon	1.618
D612	D6	Shannon	2.018
D613	D6	Shannon	1.542
D614	D6	Shannon	1.828
D615	D6	Shannon	1.979
D616	D6	Shannon	1.999
D617	D6	Shannon	1.626
D618	D6	Shannon	1.665
D619	D6	Shannon	1.573
D620	D6	Shannon	1.566
D621	D6	Shannon	1.782
D622	D6	Shannon	2.316
D623	D6	Shannon	1.555
D624	D6	Shannon	1.285
D625	D6	Shannon	2.079
D626	D6	Shannon	1.806
D627	D6	Shannon	1.67
D628	D6	Shannon	2.194
D629	D6	Shannon	1.679
D630	D6	Shannon	1.643
D631	D6	Shannon	2.287
D632	D6	Shannon	1.944
D633	D6	Shannon	1.871
D634	D6	Shannon	2.232
D635	D6	Shannon	2.237
D636	D6	Shannon	1.741
D637	D6	Shannon	1.743
D638	D6	Shannon	2.261
D639	D6	Shannon	2.304
D640	D6	Shannon	1.435
D701	D7	Shannon	1.323
D702	D7	Shannon	1.437
D703	D7	Shannon	1.808
D704	D7	Shannon	1.699
D705	D7	Shannon	1.508
D706	D7	Shannon	0.931
D707	D7	Shannon	1.66
D708	D7	Shannon	1.894
D709	D7	Shannon	1.633
D710	D7	Shannon	1.369
D711	D7	Shannon	1.455
D712	D7	Shannon	2.015
D713	D7	Shannon	1.479
D714	D7	Shannon	1.662
D715	D7	Shannon	2.266
D716	D7	Shannon	1.344
D717	D7	Shannon	1.699
D718	D7	Shannon	1.576
D719	D7	Shannon	1.448
D720	D7	Shannon	1.223
D721	D7	Shannon	1.798
D722	D7	Shannon	1.826
D723	D7	Shannon	1.802
D724	D7	Shannon	0.664
D725	D7	Shannon	1.468
D726	D7	Shannon	1.784
D727	D7	Shannon	1.623
D728	D7	Shannon	1.635
D729	D7	Shannon	1.017
D730	D7	Shannon	0.357
D731	D7	Shannon	1.03
D732	D7	Shannon	1.549
D733	D7	Shannon	0.733
D734	D7	Shannon	1.679
D735	D7	Shannon	1.842
D736	D7	Shannon	1.734
D737	D7	Shannon	1.675
D738	D7	Shannon	1.545
D739	D7	Shannon	1.006
D740	D7	Shannon	1.89
D001	D0	Simpson	0.963
D002	D0	Simpson	0.959
D003	D0	Simpson	0.959
D004	D0	Simpson	0.963
D005	D0	Simpson	0.963
D006	D0	Simpson	0.963
D007	D0	Simpson	0.963
D008	D0	Simpson	0.96
D009	D0	Simpson	0.959
D010	D0	Simpson	0.959
D011	D0	Simpson	0.959
D012	D0	Simpson	0.959
D013	D0	Simpson	0.958
D014	D0	Simpson	0.959
D101	D1	Simpson	0.963
D102	D1	Simpson	0.949
D103	D1	Simpson	0.933
D104	D1	Simpson	0.911
D105	D1	Simpson	0.921
D106	D1	Simpson	0.944
D107	D1	Simpson	0.936
D108	D1	Simpson	0.943
D109	D1	Simpson	0.952
D110	D1	Simpson	0.911
D111	D1	Simpson	0.945
D112	D1	Simpson	0.927
D113	D1	Simpson	0.924
D114	D1	Simpson	0.939
D301	D3	Simpson	0.844
D302	D3	Simpson	0.811
D303	D3	Simpson	0.748
D304	D3	Simpson	0.772
D305	D3	Simpson	0.713
D306	D3	Simpson	0.7
D307	D3	Simpson	0.685
D308	D3	Simpson	0.835
D309	D3	Simpson	0.797
D310	D3	Simpson	0.721
D311	D3	Simpson	0.728
D312	D3	Simpson	0.536
D313	D3	Simpson	0.668
D314	D3	Simpson	0.79
D315	D3	Simpson	0.71
D316	D3	Simpson	0.757
D317	D3	Simpson	0.679
D318	D3	Simpson	0.716
D319	D3	Simpson	0.71
D320	D3	Simpson	0.763
D501	D5	Simpson	0.738
D502	D5	Simpson	0.732
D503	D5	Simpson	0.701
D504	D5	Simpson	0.757
D505	D5	Simpson	0.807
D506	D5	Simpson	0.74
D507	D5	Simpson	0.793
